study,es,hat,rstudent,cook_d,comparison
5,-2.276143864860633,0.0038227515338909437,-1.6279142655704322,0.009772557195203108,Strong Synergy
5,-1.7126375414342916,0.003825734902319864,-1.1032232143449483,0.004774801787642154,Strong Synergy
5,-1.5903125288194788,0.0038257471231735877,-0.9891878679790537,0.003907294806537809,Strong Synergy
5,-2.03357868775992,0.003823909829336974,-1.4020845580501256,0.007417156257098217,Strong Synergy
5,-2.0301566055490707,0.003810034468018129,-1.3963547911517,0.007397419999577107,Strong Synergy
5,-1.9492304838927337,0.003811249775231324,-1.321277430683861,0.006658643066908674,Strong Synergy
5,-1.3980523190046077,0.0038144759041281256,-0.8087598895561026,0.0026244651779402588,Strong Synergy
5,-2.1392387350587727,0.003809675605369345,-1.4977666795728026,0.008453833599891436,Strong Synergy
5,-1.3326274929610975,0.003821104407164409,-0.7485072161028211,0.0023015867104980254,Strong Synergy
5,-1.3149855015584926,0.0038210118070454973,-0.732061637010833,0.0022074180945834488,Strong Synergy
5,-1.3800102447899063,0.0038208926366670674,-0.7926308615575937,0.0025602011228618095,Strong Synergy
5,-1.6316880849805464,0.003819295964617304,-1.026893205298945,0.004148856364329115,Strong Synergy
6,0.8449103013992143,0.0038037269862370615,1.277348947611944,0.006510102130357763,Strong Synergy
6,0.7566555480850713,0.0038037868423205444,1.1953202565580467,0.005670683080711836,Strong Synergy
6,0.5936463712645718,0.0038050138578925633,1.043960578695277,0.004284035386202144,Strong Synergy
6,1.041458462168854,0.003802406546104116,1.4597988262415378,0.008581249528545058,Strong Synergy
7,-1.414063728766521,0.0034496220380976776,-0.7832829123348853,0.0021392458132981616,Strong Synergy
9,-2.11510739911307,0.0038217512261169494,-1.4776539445612589,0.008187087522493995,Strong Synergy
9,-2.229587427102448,0.0038212061161886557,-1.5842088483316314,0.009317878434169811,Strong Synergy
9,-0.8050353798713307,0.0038259491356367322,-0.25712250297559414,0.00034598512623852066,Strong Synergy
9,-0.7742722412856768,0.0038260025077041537,-0.22844449997388613,0.000283257886230263,Strong Synergy
14,-0.0093524642970215,0.003735526965693127,0.4789084062212224,0.0008496797024676971,Strong Synergy
14,0.3786198061534953,0.0037336284603073254,0.8360916429851758,0.0026356161904183555,Strong Synergy
14,0.4553357853068179,0.0037299136784197146,0.9062924016770292,0.003100440784810584,Strong Synergy
14,0.3440644471873201,0.003731120119996746,0.8039975085628919,0.002432652674517227,Strong Synergy
20,-2.1270808662356004,0.0038077314783711556,-1.4860770489229673,0.008332470448080533,Strong Synergy
20,-2.4751208945770973,0.0038038648608527724,-1.8088523087981645,0.012141164690362558,Strong Synergy
20,-1.904381480329494,0.003809389977756325,-1.2792341498018784,0.006259522870318376,Strong Synergy
27,-0.7926138387174062,0.003785816417496993,-0.24425103817865,0.00025383596371584047,Strong Synergy
27,-1.19485755977859,0.00377883172575935,-0.6167097021421004,0.0014974436429334261,Strong Synergy
27,-0.787990991359778,0.0037666465646254027,-0.2393556413181587,0.00023669844768170998,Strong Synergy
68,1.4027976434698854,0.003740301915114777,1.78090265934812,0.01227856311547501,Strong Synergy
69,-0.1718727182804819,0.0034130154685108514,0.31466500833145666,0.00033720665288968475,Strong Synergy
69,1.1260196946257344,0.00335491962738038,1.4450344919424325,0.0070819410266618095,Strong Synergy
69,0.1678808357913869,0.003413080197258018,0.6138324887137906,0.0012922649841070786,Strong Synergy
69,0.7182110563265283,0.0033899641053555954,1.0946908672537172,0.004099904027581805,Strong Synergy
72,-0.5995373945344282,0.003789265123655837,-0.06522761941286508,2.4078146120195393e-05,Strong Synergy
72,-1.829097135867746,0.00377449835129161,-1.2036502537461105,0.0055158775790707685,Strong Synergy
72,-1.9984579817814263,0.003771307950449604,-1.3599002090445496,0.006996791890255476,Strong Synergy
72,-2.831148807523686,0.003751635082121043,-2.1250663230818505,0.01671446571116088,Strong Synergy
72,-3.7911923477912346,0.0037209493581189506,-2.9990119381003577,0.032747780114182425,Strong Synergy
72,-0.3043324094624916,0.00376384783991828,0.20796000003040446,0.00015140612688435134,Strong Synergy
74,0.3144751748898919,0.0038107898182119368,0.7850054204009178,0.002371786160651945,Strong Synergy
74,-0.1768549121798198,0.003811070414609562,0.32787282688162445,0.0003722860121296618,Strong Synergy
74,0.0419514121745994,0.003811192920049437,0.531471233634785,0.0010439829798668011,Strong Synergy
84,-1.017770010956424,0.003147682706761515,-0.4131098631888919,0.0005438303987591558,Strong Synergy
43,-0.1741209846173576,0.0037630019914064792,0.3283262704094784,0.00039175278532383064,Strong Synergy
43,-0.3458821376811178,0.0037621128857887164,0.16950095129044956,9.85085607938205e-05,Strong Synergy
43,0.2239674000513221,0.0037628044238093394,0.6963687565099217,0.001830853309325261,Strong Synergy
43,-0.1902508070485889,0.003762943472976982,0.3134106758489832,0.0003558688684147621,Strong Synergy
43,-0.5442707822729649,0.0037603561824672747,-0.013898415669183274,2.01992542516612e-06,Strong Synergy
43,0.4151178730998155,0.0037615885925281456,0.872955132796921,0.002902113046835335,Strong Synergy
43,-0.1606580568965945,0.00376304686884251,0.34077572792652716,0.00042303311490947057,Strong Synergy
43,-0.6725233937401479,0.0037588051591668677,-0.1324079840254352,7.612355431619555e-05,Strong Synergy
43,0.7128550580456792,0.003758250142207287,1.1476728156513591,0.005061849164897514,Strong Synergy
43,-0.2334749857919232,0.0037627611244836355,0.2734405614905501,0.00026825730078014503,Strong Synergy
43,-0.5842951552264088,0.003759907112760631,-0.050887718675464,1.3714047197853083e-05,Strong Synergy
43,0.4614106089175552,0.0037611849182790807,0.9156988527614951,0.0031987149786466447,Strong Synergy
43,-0.2585029393192679,0.003762638542600218,0.2502971180345584,0.0002232105425024175,Strong Synergy
43,-0.6078994234319769,0.0037596273977389405,-0.07269984746595676,2.5481325168909796e-05,Strong Synergy
43,0.4600681405303837,0.003761197223697054,0.9144594417462298,0.0031899098723096736,Strong Synergy
1,-2.251842941394329,0.0037817429639281108,-1.596635200304556,0.009581451546113947,Strong Synergy
1,-2.459518070815934,0.003778914512321818,-1.7884538485503456,0.011945159051819573,Strong Synergy
1,-2.5664752865193994,0.0037773623164857116,-1.8871645001780415,0.013260381753711099,Strong Synergy
1,-3.090583971939549,0.0037688241345483005,-2.369980603456479,0.02065788675112817,Strong Synergy
1,-2.614741120883654,0.003776640669729928,-1.931690187121367,0.013875586645750905,Strong Synergy
1,-3.4748125880154705,0.00376158999631593,-2.722884738255678,0.02707520626445854,Strong Synergy
1,-1.8905677912775365,0.0037860773894724305,-1.262503005251188,0.006072600763453357,Strong Synergy
1,-1.3856547317233268,0.0037908800105759637,-0.7947497386580783,0.0024748704905560603,Strong Synergy
1,-1.6333130218694325,0.003788707803123548,-1.0242803143802286,0.004046982804541412,Strong Synergy
1,-1.1806815172498135,0.0037924097757514263,-0.6046588201384491,0.0014588836705249056,Strong Synergy
1,-1.096309892705373,0.0037929687748822567,-0.5263858768988545,0.0011168115991270564,Strong Synergy
