excluded,k,estimate,se,ci_lower,ci_upper,p_value,I2,comparison
34,277,-0.5317115254892516,0.06647539703822083,-0.6620033036841644,-0.40141974729433877,1.3322676295501878e-15,98.41318444071123,Strong Synergy
34,277,-0.5299594847258147,0.0664903515463283,-0.6602805737566182,-0.3996383956950112,1.5543122344752192e-15,98.4139469898255,Strong Synergy
40,277,-0.5280928266133733,0.06645677402638672,-0.6583481037050913,-0.39783754952165534,1.9984014443252818e-15,98.41417244442447,Strong Synergy
40,277,-0.5283746049459588,0.06645738387134621,-0.6586310773337973,-0.39811813255812023,1.7763568394002505e-15,98.41417676397309,Strong Synergy
40,277,-0.5315588379208239,0.06645298761538397,-0.6618066936469765,-0.4013109821946713,1.3322676295501878e-15,98.41385604557729,Strong Synergy
40,277,-0.5334495408110219,0.06644131373250242,-0.6636745157267266,-0.4032245658953172,8.881784197001252e-16,98.41338866731799,Strong Synergy
40,277,-0.526401631861031,0.06644998133458235,-0.6566435952768124,-0.3961596684452495,2.4424906541753444e-15,98.41404803204667,Strong Synergy
40,277,-0.5323578856706872,0.06644875818815033,-0.6625974517194618,-0.4021183196219126,1.1102230246251565e-15,98.41367719889888,Strong Synergy
41,277,-0.5247361834302515,0.06647404493880196,-0.6550253115103034,-0.39444705535019964,2.886579864025407e-15,98.41297243017277,Strong Synergy
41,277,-0.5303821964482078,0.06653598891485037,-0.6607927347213145,-0.3999716581751011,1.5543122344752192e-15,98.41302921281174,Strong Synergy
42,277,-0.524892499988849,0.06650844193059359,-0.6552490461728124,-0.3945359538048856,2.886579864025407e-15,98.41050905370975,Strong Synergy
42,277,-0.526208433570083,0.06657678232247452,-0.656698926922133,-0.39571794021803286,2.6645352591003757e-15,98.41252660155632,Strong Synergy
44,277,-0.5313399641565661,0.066450514958944,-0.6615829734760964,-0.4010969548370359,1.3322676295501878e-15,98.41392465634094,Strong Synergy
44,277,-0.5344782460475576,0.06643014012123875,-0.6646813206851855,-0.40427517140992963,8.881784197001252e-16,98.4131813411857,Strong Synergy
48,277,-0.531756085879401,0.06646279350540046,-0.6620231611499859,-0.40148901060881614,1.3322676295501878e-15,98.41363798764937,Strong Synergy
49,277,-0.5311954223629535,0.06649575048676216,-0.6615270933170073,-0.4008637514088996,1.3322676295501878e-15,98.41290430043775,Strong Synergy
52,277,-0.5241803997270541,0.06643380243053768,-0.654390652490908,-0.39397014696320026,3.1086244689504383e-15,98.413686539171,Strong Synergy
52,277,-0.5262782606991654,0.06644928882144735,-0.6565188667892021,-0.3960376546091286,2.4424906541753444e-15,98.41403308532396,Strong Synergy
52,277,-0.5280453305759193,0.06645665585444738,-0.6583003760506362,-0.3977902851012024,1.9984014443252818e-15,98.41417121838613,Strong Synergy
53,277,-0.5209087209415476,0.0664199102036585,-0.6510917449407183,-0.3907256969423769,4.440892098500626e-15,98.41152140942445,Strong Synergy
53,277,-0.5340849084992513,0.06643917530537216,-0.6643056920977807,-0.4038641249007219,8.881784197001252e-16,98.41150497366793,Strong Synergy
54,277,-0.5308968679357429,0.06645559965160237,-0.6611498432528835,-0.4006438926186022,1.3322676295501878e-15,98.41397755650412,Strong Synergy
54,277,-0.5316883291128891,0.066452379430252,-0.6619349927961831,-0.40144166542959514,1.3322676295501878e-15,98.41382930598307,Strong Synergy
54,277,-0.5313256851578321,0.06645400374471086,-0.6615755324974654,-0.4010758378181988,1.3322676295501878e-15,98.41390180987409,Strong Synergy
55,277,-0.5262736434563439,0.06646590862716609,-0.6565468243655894,-0.3960004625470983,2.4424906541753444e-15,98.41398105507507,Strong Synergy
55,277,-0.5286977823231988,0.06647428323212763,-0.6589873774581689,-0.39840818718822857,1.7763568394002505e-15,98.41417231459901,Strong Synergy
55,277,-0.5249909348954447,0.06645709830589722,-0.6552468475750033,-0.39473502221588613,2.886579864025407e-15,98.41371156416757,Strong Synergy
