Paper_Name,Paper_ID,Exp_ID,Treatment_ID,Measure_ID,Exp_ID_Cleaned,ES_ID,Title,Authors,Year,Industry,Venue,Exp_Design,Comp_Type,Task_Desc,Marketing_Task,Task_Data_Cleaned,Task_Data_IsCategoric,Task_Data_IsCode,Task_Data_IsImage,Task_Data_IsNumeric,Task_Data_IsText,Task_Data_IsVideo,Task_Output,Task_Output_Cleaned,Task_Type,AI_Type,AI_Data_In,AI_Data_Out,AI_Type_Cleaned,Final_Decision,Division_Labor,Condition_Name,AI_Expl_Incl,AI_Conf_Incl,AI_Expl_Type,Perf_Metric,Perf_Metric_Cleaned,Perf_Dir,N_Exp,N_Human,N_HumanAI,Participant_Type,Participant_Type_2,Participant_Source,Participant_Expert,Participant_Crowdworker,Avg_Perf_Human,Avg_Perf_AI,Avg_Perf_HumanAI,Avg_Perf_Human_Adj,Avg_Perf_AI_Adj,Avg_Perf_HumanAI_Adj,Baseline,Avg_Perf_Baseline_Adj,Avg_Perf_Worse_Adj,Synergy,Sd_Perf_Human,Sd_Perf_AI,Sd_Perf_HumanAI,Sd_Perf_Baseline,Sd_Perf_Worse,Est_ES,Notes,Notes_2,es_s,variance_s,es_h,variance_h,es_a,variance_a,es_n,variance_n
Jacobs_2021,28,1,1,1,28.1,28.1.1.1,How machine-learning recommendations influence clinician treatment selections: the example of the antidepressant selection,"Jacobs, M; Pradier, MF; McCoy, TH; Perlis, RH; Doshi-Velez, F; Gajos, KZ",2021,Healthcare,Translational Psychiatry ,Within-Subjects,Dependent Samples,Select drug for patient,"Numeric, Text",Multiple,No,No,No,Yes,Yes,No,Categoric,Categoric,Decide,Wizard of Oz,"Numeric, Text",Categorical,Wizard of Oz,Human,No,"AI = Correct, Explanation = None",No,No,,Accuracy,Accuracy,Up,220,220,220,Physicians,Specialists (Expert),"Social Media, Snowball Sampling",Yes,No,0.357,0.6667,0.394,0.357,0.6667,0.394,AI,0.6667,0.357,0,0.1816,0.0,0.2951,0.0,0.1816,No,HD1-AI-FHD(Novice),,,,0.15075377165516937,0.009085522121836156,,,0.15075377165516937,0.009085522121836156
Jacobs_2021,28,1,1,1,28.1,28.1.1.1,How machine-learning recommendations influence clinician treatment selections: the example of the antidepressant selection,"Jacobs, M; Pradier, MF; McCoy, TH; Perlis, RH; Doshi-Velez, F; Gajos, KZ",2021,Healthcare,Translational Psychiatry ,Within-Subjects,Dependent Samples,Select drug for patient,"Numeric, Text",Multiple,No,No,No,Yes,Yes,No,Categoric,Categoric,Decide,Wizard of Oz,"Numeric, Text",Categorical,Wizard of Oz,Human,No,"AI = Incorrect, Explanation = None",No,No,,Accuracy,Accuracy,Up,220,220,220,Physicians,Specialists (Expert),"Social Media, Snowball Sampling",Yes,No,0.357,0.6667,0.298,0.357,0.6667,0.298,AI,0.6667,0.357,0,0.1816,0.0,0.3632,0.0,0.1816,No,HD1-AI-FHD(Expert),,,,-0.20512634671219043,0.009107435610328757,,,-0.20512634671219043,0.009107435610328757
Jacobs_2021,28,1,2,1,28.1,28.1.2.1,How machine-learning recommendations influence clinician treatment selections: the example of the antidepressant selection,"Jacobs, M; Pradier, MF; McCoy, TH; Perlis, RH; Doshi-Velez, F; Gajos, KZ",2021,Healthcare,Translational Psychiatry ,Within-Subjects,Dependent Samples,Select drug for patient,"Numeric, Text",Multiple,No,No,No,Yes,Yes,No,Categoric,Categoric,Decide,Wizard of Oz,"Numeric, Text",Categorical,Wizard of Oz,Human,No,"AI = Correct, Explanation = Placebo",Yes,No,Text,Accuracy,Accuracy,Up,220,220,220,Physicians,Specialists (Expert),"Social Media, Snowball Sampling",Yes,No,0.357,0.6667,0.357,0.357,0.6667,0.357,AI,0.6667,0.357,0,0.1816,0.0,0.2951,0.0,0.1816,No,HD1-AI-HD2-XAI-FHD(Novice),,,,0.0,0.009059784745963582,,,0.0,0.009059784745963582
Jacobs_2021,28,1,2,1,28.1,28.1.2.1,How machine-learning recommendations influence clinician treatment selections: the example of the antidepressant selection,"Jacobs, M; Pradier, MF; McCoy, TH; Perlis, RH; Doshi-Velez, F; Gajos, KZ",2021,Healthcare,Translational Psychiatry ,Within-Subjects,Dependent Samples,Select drug for patient,"Numeric, Text",Multiple,No,No,No,Yes,Yes,No,Categoric,Categoric,Decide,Wizard of Oz,"Numeric, Text",Categorical,Wizard of Oz,Human,No,"AI = Incorrect, Explanation = Placebo",Yes,No,Text,Accuracy,Accuracy,Up,220,220,220,Physicians,Specialists (Expert),"Social Media, Snowball Sampling",Yes,No,0.357,0.6667,0.311,0.357,0.6667,0.311,AI,0.6667,0.357,0,0.1816,0.0,0.3708,0.0,0.1816,No,HD1-AI-HD2-XAI-FHD(Expert),,,,-0.15729053969237672,0.009087802485747414,,,-0.15729053969237672,0.009087802485747414
Jacobs_2021,28,1,3,1,28.1,28.1.3.1,How machine-learning recommendations influence clinician treatment selections: the example of the antidepressant selection,"Jacobs, M; Pradier, MF; McCoy, TH; Perlis, RH; Doshi-Velez, F; Gajos, KZ",2021,Healthcare,Translational Psychiatry ,Within-Subjects,Dependent Samples,Select drug for patient,"Numeric, Text",Multiple,No,No,No,Yes,Yes,No,Categoric,Categoric,Decide,Wizard of Oz,"Numeric, Text",Categorical,Wizard of Oz,Human,No,"AI = Correct, Explanation = Feature-based",Yes,Yes,"Image, Numeric, Text",Accuracy,Accuracy,Up,220,220,220,Physicians,Specialists (Expert),"Social Media, Snowball Sampling",Yes,No,0.357,0.6667,0.397,0.357,0.6667,0.397,AI,0.6667,0.357,0,0.1816,0.0,0.3103,0.0,0.1816,No,AI-FHD(Novice),,,,0.15706896575445203,0.009087723604609783,,,0.15706896575445203,0.009087723604609783
Jacobs_2021,28,1,3,1,28.1,28.1.3.1,How machine-learning recommendations influence clinician treatment selections: the example of the antidepressant selection,"Jacobs, M; Pradier, MF; McCoy, TH; Perlis, RH; Doshi-Velez, F; Gajos, KZ",2021,Healthcare,Translational Psychiatry ,Within-Subjects,Dependent Samples,Select drug for patient,"Numeric, Text",Multiple,No,No,No,Yes,Yes,No,Categoric,Categoric,Decide,Wizard of Oz,"Numeric, Text",Categorical,Wizard of Oz,Human,No,"AI = Incorrect, Explanation = Feature-based",Yes,Yes,"Image, Numeric, Text",Accuracy,Accuracy,Up,220,220,220,Physicians,Specialists (Expert),"Social Media, Snowball Sampling",Yes,No,0.357,0.6667,0.262,0.357,0.6667,0.262,AI,0.6667,0.357,0,0.1816,0.0,0.3632,0.0,0.1816,No,AI-FHD(Expert),,,,-0.3302881853840354,0.009183326558918395,,,-0.3302881853840354,0.009183326558918395
Jacobs_2021,28,1,4,1,28.1,28.1.4.1,How machine-learning recommendations influence clinician treatment selections: the example of the antidepressant selection,"Jacobs, M; Pradier, MF; McCoy, TH; Perlis, RH; Doshi-Velez, F; Gajos, KZ",2021,Healthcare,Translational Psychiatry ,Within-Subjects,Dependent Samples,Select drug for patient,"Numeric, Text",Multiple,No,No,No,Yes,Yes,No,Categoric,Categoric,Decide,Wizard of Oz,"Numeric, Text",Categorical,Wizard of Oz,Human,No,"AI = Correct, Explanation = Heuristic based",Yes,Yes,"Image, Numeric, Text",Accuracy,Accuracy,Up,220,220,220,Physicians,Specialists (Expert),"Social Media, Snowball Sampling",Yes,No,0.357,0.6667,0.39,0.357,0.6667,0.39,AI,0.6667,0.357,0,0.1816,0.0,0.2876,0.0,0.1816,No,AI-HD2-XAI-FHD(Novice),,,,0.1369720497309547,0.00908103146143324,,,0.1369720497309547,0.00908103146143324
Jacobs_2021,28,1,4,1,28.1,28.1.4.1,How machine-learning recommendations influence clinician treatment selections: the example of the antidepressant selection,"Jacobs, M; Pradier, MF; McCoy, TH; Perlis, RH; Doshi-Velez, F; Gajos, KZ",2021,Healthcare,Translational Psychiatry ,Within-Subjects,Dependent Samples,Select drug for patient,"Numeric, Text",Multiple,No,No,No,Yes,Yes,No,Categoric,Categoric,Decide,Wizard of Oz,"Numeric, Text",Categorical,Wizard of Oz,Human,No,"AI = Incorrect, Explanation = Heuristic based",Yes,Yes,"Image, Numeric, Text",Accuracy,Accuracy,Up,220,220,220,Physicians,Specialists (Expert),"Social Media, Snowball Sampling",Yes,No,0.357,0.6667,0.327,0.357,0.6667,0.327,AI,0.6667,0.357,0,0.1816,0.0,0.3784,0.0,0.1816,No,AI-HD2-XAI-FHD(Expert),,,,-0.10090938812064594,0.009071316384951874,,,-0.10090938812064594,0.009071316384951874
Li_2022,29,1,1,1,29.1,29.1.1.1,How does the artificial intelligence-based image-assisted technique help physicians in diagnosis of pulmonary adenocarcinoma? A randomized controlled experiment of multicenter physicians in China,"Li, JY; Zhou, LX; Zhan, Y; Xu, HF; Zhang, C; Shan, F; Liu, L",2022,Healthcare,Journal of the American Medical Informatics Association,Between-Subjects,Independent Samples,Diagnose patient case,"Image, Numeric, Text",Multiple,No,No,Yes,Yes,Yes,No,Categoric,Categoric,Decide,Deep,Image,Categorical,Deep,Human,No,Unlimited Time,Yes,No,"Image, Numeric, Text",Accuracy,Accuracy,Up,102,27,27,Physicians,Specialists (Expert),Hospital,Yes,No,0.6037,0.8,0.7074,0.6037,0.8,0.7074,AI,0.8,0.6037,0,0.1546,0.0,0.144,0.0,0.1546,No,,,,,0.6840774878910845,0.07615085597417225,,,0.6840774878910845,0.07615085597417225
Li_2022,29,1,2,1,29.1,29.1.2.1,How does the artificial intelligence-based image-assisted technique help physicians in diagnosis of pulmonary adenocarcinoma? A randomized controlled experiment of multicenter physicians in China,"Li, JY; Zhou, LX; Zhan, Y; Xu, HF; Zhang, C; Shan, F; Liu, L",2022,Healthcare,Journal of the American Medical Informatics Association,Between-Subjects,Independent Samples,Diagnose patient case,"Image, Numeric, Text",Multiple,No,No,Yes,Yes,Yes,No,Categoric,Categoric,Decide,Deep,Image,Categorical,Deep,Human,No,2-Minute,Yes,No,"Image, Numeric, Text",Accuracy,Accuracy,Up,102,26,24,Physicians,Specialists (Expert),Hospital,Yes,No,0.5538,0.8,0.742,0.5538,0.8,0.742,AI,0.8,0.5538,0,0.1573,0.0,0.1443,0.0,0.1573,No,,,,,1.2264126679331453,0.09578159129333742,,,1.225074641652546,0.09217118002021149
